measure,location,sample_date,unit,value,id
Ammonium,Achara,1/15/2009,mg/l,0.552,1
Ammonium,Achara,2/13/2009,mg/l,0.086,2
Ammonium,Achara,3/19/2009,mg/l,0.07,3
Ammonium,Achara,4/17/2009,mg/l,0.125,4
Ammonium,Achara,5/17/2009,mg/l,0.211,5
Ammonium,Achara,6/12/2009,mg/l,0.016,6
Ammonium,Achara,7/11/2009,mg/l,0.039,7
Ammonium,Achara,8/13/2009,mg/l,0.093,8
Ammonium,Achara,9/10/2009,mg/l,0.132,9
Ammonium,Achara,10/11/2009,mg/l,0.031,10
Ammonium,Achara,11/19/2009,mg/l,0.39,11
Ammonium,Achara,12/10/2009,mg/l,0.234,12
Ammonium,Achara,1/16/2010,mg/l,0.451,13
Ammonium,Achara,2/11/2010,mg/l,0.07,14
Ammonium,Achara,2/20/2010,mg/l,0.062,15
Ammonium,Achara,2/21/2010,mg/l,0.062,16
Ammonium,Achara,3/13/2010,mg/l,0.528,17
Ammonium,Achara,3/19/2010,mg/l,0.023,18
Ammonium,Achara,4/7/2010,mg/l,0.023,19
Ammonium,Achara,4/8/2010,mg/l,0.07,20
Ammonium,Achara,4/10/2010,mg/l,0.031,21
Ammonium,Achara,4/16/2010,mg/l,0.28,22
Ammonium,Achara,5/15/2010,mg/l,0.093,23
Ammonium,Achara,5/20/2010,mg/l,0.218,24
Ammonium,Achara,6/17/2010,mg/l,0.047,25
Ammonium,Achara,6/30/2010,mg/l,0.006,26
Ammonium,Achara,7/8/2010,mg/l,0.085,27
Ammonium,Achara,7/16/2010,mg/l,0.085,28
Ammonium,Achara,8/12/2010,mg/l,0.163,29
Ammonium,Achara,8/18/2010,mg/l,0.101,30
Ammonium,Achara,9/9/2010,mg/l,0.039,31
Ammonium,Achara,9/17/2010,mg/l,0.109,32
Ammonium,Achara,10/14/2010,mg/l,0.023,33
Ammonium,Achara,10/16/2010,mg/l,0.016,34
Ammonium,Achara,10/22/2010,mg/l,0.148,35
Ammonium,Achara,11/13/2010,mg/l,0.054,36
Ammonium,Achara,11/19/2010,mg/l,0.109,37
Ammonium,Achara,12/10/2010,mg/l,0.155,38
Ammonium,Achara,12/11/2010,mg/l,0.155,39
Ammonium,Achara,1/21/2011,mg/l,0.105,40
Ammonium,Achara,1/22/2011,mg/l,0.219,41
Ammonium,Achara,2/11/2011,mg/l,0.216,42
Ammonium,Achara,2/18/2011,mg/l,0.139,43
Ammonium,Achara,3/18/2011,mg/l,0.157,44
Ammonium,Achara,3/31/2011,mg/l,0.038,45
Ammonium,Achara,4/16/2011,mg/l,0,46
Ammonium,Achara,4/22/2011,mg/l,0.028,47
Ammonium,Achara,5/13/2011,mg/l,0.108,48
Ammonium,Achara,5/27/2011,mg/l,0.073,49
Ammonium,Achara,6/11/2011,mg/l,0.076,50
Ammonium,Achara,6/17/2011,mg/l,0.041,51
Ammonium,Achara,7/9/2011,mg/l,0.028,52
Ammonium,Achara,7/14/2011,mg/l,0,53
Ammonium,Achara,8/4/2011,mg/l,0.069,54
Ammonium,Achara,8/11/2011,mg/l,0.027,55
Ammonium,Achara,9/14/2011,mg/l,0,56
Ammonium,Achara,9/28/2011,mg/l,0,57
Ammonium,Achara,10/8/2011,mg/l,0.078,58
Ammonium,Achara,10/13/2011,mg/l,0.097,59
Ammonium,Achara,11/11/2011,mg/l,0.279,60
Ammonium,Achara,11/26/2011,mg/l,0.041,61
Ammonium,Achara,12/10/2011,mg/l,0.089,62
Ammonium,Achara,12/15/2011,mg/l,0.053,63
Ammonium,Achara,1/20/2012,mg/l,0.146,64
Ammonium,Achara,1/21/2012,mg/l,0.131,65
Ammonium,Achara,2/10/2012,mg/l,0.275,66
Ammonium,Achara,2/17/2012,mg/l,0.097,67
