measure,location,sample_date,unit,value,id
Ammonium,Achara,2009-01-15,mg/l,0.552,2310
Ammonium,Achara,2009-02-13,mg/l,0.086,2319
Ammonium,Achara,2009-03-19,mg/l,0.07,2335
Ammonium,Achara,2009-04-17,mg/l,0.125,2342
Ammonium,Achara,2009-05-17,mg/l,0.211,2358
Ammonium,Achara,2009-06-12,mg/l,0.016,2367
Ammonium,Achara,2009-07-11,mg/l,0.039,2379
Ammonium,Achara,2009-08-13,mg/l,0.093,2392
Ammonium,Achara,2009-09-10,mg/l,0.132,2404
Ammonium,Achara,2009-10-11,mg/l,0.031,2417
Ammonium,Achara,2009-11-19,mg/l,0.39,2431
Ammonium,Achara,2009-12-10,mg/l,0.234,2441
Ammonium,Achara,2010-01-16,mg/l,0.451,2451
Ammonium,Achara,2010-02-11,mg/l,0.07,2463
Ammonium,Achara,2010-02-20,mg/l,0.062,2469
Ammonium,Achara,2010-02-21,mg/l,0.062,2471
Ammonium,Achara,2010-03-13,mg/l,0.528,2478
Ammonium,Achara,2010-03-19,mg/l,0.023,2481
Ammonium,Achara,2010-04-07,mg/l,0.023,2488
Ammonium,Achara,2010-04-08,mg/l,0.07,2489
Ammonium,Achara,2010-04-10,mg/l,0.031,2492
Ammonium,Achara,2010-04-16,mg/l,0.28,2494
Ammonium,Achara,2010-05-15,mg/l,0.093,2506
Ammonium,Achara,2010-05-20,mg/l,0.218,2510
Ammonium,Achara,2010-06-17,mg/l,0.047,2519
Ammonium,Achara,2010-06-30,mg/l,0.006,2526
Ammonium,Achara,2010-07-08,mg/l,0.085,2528
Ammonium,Achara,2010-07-16,mg/l,0.085,2532
Ammonium,Achara,2010-08-12,mg/l,0.163,2544
Ammonium,Achara,2010-08-18,mg/l,0.101,2549
Ammonium,Achara,2010-09-09,mg/l,0.039,2560
Ammonium,Achara,2010-09-17,mg/l,0.109,2565
Ammonium,Achara,2010-10-14,mg/l,0.023,2573
Ammonium,Achara,2010-10-16,mg/l,0.016,2578
Ammonium,Achara,2010-10-22,mg/l,0.148,2582
Ammonium,Achara,2010-11-13,mg/l,0.054,2592
Ammonium,Achara,2010-11-19,mg/l,0.109,2596
Ammonium,Achara,2010-12-10,mg/l,0.155,2609
Ammonium,Achara,2010-12-11,mg/l,0.155,2610
Ammonium,Achara,2011-01-21,mg/l,0.105,2625
Ammonium,Achara,2011-01-22,mg/l,0.219,2626
Ammonium,Achara,2011-02-11,mg/l,0.216,2635
Ammonium,Achara,2011-02-18,mg/l,0.139,2640
Ammonium,Achara,2011-03-18,mg/l,0.157,2654
Ammonium,Achara,2011-03-31,mg/l,0.038,2661
Ammonium,Achara,2011-04-16,mg/l,0,2670
Ammonium,Achara,2011-04-22,mg/l,0.028,2671
Ammonium,Achara,2011-05-13,mg/l,0.108,2679
Ammonium,Achara,2011-05-27,mg/l,0.073,2690
Ammonium,Achara,2011-06-11,mg/l,0.076,2693
Ammonium,Achara,2011-06-17,mg/l,0.041,2695
Ammonium,Achara,2011-07-09,mg/l,0.028,2708
Ammonium,Achara,2011-07-14,mg/l,0,2710
Ammonium,Achara,2011-08-04,mg/l,0.069,2722
Ammonium,Achara,2011-08-11,mg/l,0.027,2726
Ammonium,Achara,2011-09-14,mg/l,0,2741
Ammonium,Achara,2011-09-28,mg/l,0,2746
Ammonium,Achara,2011-10-08,mg/l,0.078,2750
Ammonium,Achara,2011-10-13,mg/l,0.097,2753
Ammonium,Achara,2011-11-11,mg/l,0.279,2766
Ammonium,Achara,2011-11-26,mg/l,0.041,2777
Ammonium,Achara,2011-12-10,mg/l,0.089,2788
Ammonium,Achara,2011-12-15,mg/l,0.053,2791
Ammonium,Achara,2012-01-20,mg/l,0.146,2800
Ammonium,Achara,2012-01-21,mg/l,0.131,2801
Ammonium,Achara,2012-02-10,mg/l,0.275,2808
Ammonium,Achara,2012-02-17,mg/l,0.097,2814
Ammonium,Achara,2012-03-15,mg/l,0.912,2824
Ammonium,Achara,2012-03-17,mg/l,0.322,2830
Ammonium,Achara,2012-04-21,mg/l,0,2844
Ammonium,Achara,2012-04-29,mg/l,0,2851
Ammonium,Achara,2012-05-19,mg/l,0,2860
Ammonium,Achara,2012-05-27,mg/l,0.15,2866
Ammonium,Achara,2012-06-16,mg/l,0.288,2873
Ammonium,Achara,2012-06-28,mg/l,0.065,2878
Ammonium,Achara,2012-07-08,mg/l,0.066,2881
Ammonium,Achara,2012-07-21,mg/l,0.035,2889
Ammonium,Achara,2012-08-16,mg/l,0,2900
Ammonium,Achara,2012-08-26,mg/l,0,2907
Ammonium,Achara,2012-09-21,mg/l,0,2917
Ammonium,Achara,2012-09-27,mg/l,0.08,2920
Ammonium,Achara,2012-10-18,mg/l,0.035,2930
Ammonium,Achara,2012-10-21,mg/l,0.34,2932
Ammonium,Achara,2012-11-16,mg/l,0.106,2949
Ammonium,Achara,2012-11-22,mg/l,0.09,2954
Ammonium,Achara,2012-12-07,mg/l,0.107,2960
Ammonium,Achara,2012-12-10,mg/l,0.153,2967
Ammonium,Achara,2013-01-17,mg/l,0.114,2980
Ammonium,Achara,2013-02-15,mg/l,0,2993
Ammonium,Achara,2013-03-14,mg/l,0.037,3005
Ammonium,Achara,2013-04-12,mg/l,0.036,3018
Ammonium,Achara,2013-05-16,mg/l,0.045,3032
Ammonium,Achara,2013-06-14,mg/l,0.073,3043
Ammonium,Achara,2013-07-18,mg/l,0.04,3062
Ammonium,Achara,2013-08-16,mg/l,0.033,3078
Ammonium,Achara,2013-09-21,mg/l,0.067,3093
Ammonium,Achara,2013-10-18,mg/l,0,3103
Ammonium,Achara,2013-11-15,mg/l,0.041,3120
Ammonium,Achara,2013-12-13,mg/l,0.421,3138
Ammonium,Achara,2014-01-16,mg/l,0.43,3150
Ammonium,Achara,2014-02-15,mg/l,0.216,3160
Ammonium,Achara,2014-03-19,mg/l,0,3174
Ammonium,Achara,2014-04-18,mg/l,0.215,3192
Ammonium,Achara,2014-05-16,mg/l,0.051,3206
Ammonium,Achara,2014-06-20,mg/l,0.087,3223
Ammonium,Achara,2014-07-18,mg/l,0.037,3237
Ammonium,Achara,2014-08-16,mg/l,0,3249
Ammonium,Achara,2014-09-19,mg/l,0.026,3277
Ammonium,Achara,2014-10-17,mg/l,0.062,3290
Ammonium,Achara,2014-11-21,mg/l,0.15,3313
Ammonium,Achara,2014-12-12,mg/l,0.216,3332
Ammonium,Achara,2015-01-17,mg/l,0.316,3346
Ammonium,Achara,2015-02-21,mg/l,0,3363
Ammonium,Achara,2015-03-13,mg/l,0.049,3371
Ammonium,Achara,2015-04-18,mg/l,0.055,3392
Ammonium,Achara,2015-05-15,mg/l,0.21,3404
Ammonium,Achara,2015-06-20,mg/l,0.35,3425
Ammonium,Achara,2015-07-16,mg/l,0.063,3435
Ammonium,Achara,2015-08-22,mg/l,0.108,3459
Ammonium,Achara,2015-09-18,mg/l,0.065,3468
