Country,Lat,Lon,Number of Records,Year,child_mortality,fertility,gdp,life,population,region
Afghanistan,34.023,65.5267,1,1964,339.7,7.671,1182,33.639,10474903,South Asia
Afghanistan,34.023,65.5267,1,1965,334.1,7.671,1182,34.152,10697983,South Asia
Afghanistan,34.023,65.5267,1,1966,328.7,7.671,1168,34.662,10927724,South Asia
Afghanistan,34.023,65.5267,1,1967,323.3,7.671,1173,35.17,11163656,South Asia
Afghanistan,34.023,65.5267,1,1968,318.1,7.671,1187,35.674,11411022,South Asia
Afghanistan,34.023,65.5267,1,1969,313,7.671,1178,36.172,11676990,South Asia
Afghanistan,34.023,65.5267,1,1970,307.8,7.671,1174,36.663,11964906,South Asia
Afghanistan,34.023,65.5267,1,1971,302.1,7.671,1092,37.143,12273101,South Asia
Afghanistan,34.023,65.5267,1,1972,296.4,7.671,1046,37.614,12593688,South Asia
Afghanistan,34.023,65.5267,1,1973,290.8,7.671,1137,38.075,12915499,South Asia
Afghanistan,34.023,65.5267,1,1974,284.9,7.671,1170,38.529,13223928,South Asia
Afghanistan,34.023,65.5267,1,1975,279.4,7.671,1201,38.977,13505544,South Asia
Afghanistan,34.023,65.5267,1,1976,273.6,7.67,1231,39.417,13766792,South Asia
Afghanistan,34.023,65.5267,1,1977,267.8,7.67,1119,39.855,14003408,South Asia
Afghanistan,34.023,65.5267,1,1978,261.6,7.67,1179,40.298,14179656,South Asia
Afghanistan,34.023,65.5267,1,1979,255.5,7.669,1155,40.756,14249493,South Asia
Afghanistan,34.023,65.5267,1,1980,249.1,7.669,1158,41.242,14185729,South Asia
Afghanistan,34.023,65.5267,1,1981,242.7,7.67,1284,41.77,13984092,South Asia
Afghanistan,34.023,65.5267,1,1982,236.2,7.671,1402,42.347,13672870,South Asia
Afghanistan,34.023,65.5267,1,1983,229.7,7.673,1454,42.977,13300056,South Asia
Afghanistan,34.023,65.5267,1,1984,222.9,7.676,1429,43.661,12931791,South Asia
Afghanistan,34.023,65.5267,1,1985,216,7.679,1384,44.4,12625292,South Asia
Afghanistan,34.023,65.5267,1,1986,209.2,7.681,1486,45.192,12372113,South Asia
Afghanistan,34.023,65.5267,1,1987,202.1,7.682,1230,46.024,12183387,South Asia
Afghanistan,34.023,65.5267,1,1988,195,7.682,1113,46.88,12156685,South Asia
Afghanistan,34.023,65.5267,1,1989,187.8,7.682,1087,47.744,12414686,South Asia
Afghanistan,34.023,65.5267,1,1990,181,7.687,1028,48.601,13032161,South Asia
Afghanistan,34.023,65.5267,1,1991,174.2,7.7,1022,49.439,14069854,South Asia
Afghanistan,34.023,65.5267,1,1992,167.8,7.725,941,50.247,15472076,South Asia
Afghanistan,34.023,65.5267,1,1993,162,7.758,810,51.017,17053213,South Asia
Afghanistan,34.023,65.5267,1,1994,156.8,7.796,725,51.738,18553819,South Asia
Afghanistan,34.023,65.5267,1,1995,152.3,7.832,872,52.4,19789880,South Asia
Afghanistan,34.023,65.5267,1,1996,148.6,7.859,895,52.995,20684982,South Asia
Afghanistan,34.023,65.5267,1,1997,145.5,7.869,921,53.527,21299350,South Asia
